model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
pred_high_residual_cal_full,2139,154.53302696619687,191.99837830263928,0.3201152370229453,8.199716573067509,0.3111325285295222,hour,13
pred_blend_raw_highcal_50,2139,153.65749721194504,188.52318374462286,0.3445044946709034,0.1276559616773378,0.32360111555203996,hour,13
pred_blend_iso_highcal_50,2139,153.59763102964357,188.26739079817224,0.3462820731436067,0.31207861871253656,0.3245188703883004,hour,13
persistence,2152,222.74449995353163,282.1263377421653,-1.1672257547622054,186.43537263011154,0.0,hour,14
pred_raw,2152,130.14748820211767,156.4549999071651,0.3335067065601339,-2.9016555376798765,0.44544348053690386,hour,14
pred_isotonic,2152,129.62519178444893,156.73077789959657,0.33115502492281124,1.8225328410534882,0.44446598231877044,hour,14
pred_bin_bias,2152,129.08250239732732,156.66734764716136,0.3316962896482326,4.0744950488530325,0.4446908115670528,hour,14
pred_high_residual_cal,2152,130.11685435902584,156.4694689906634,0.3333834251943607,-2.836239050579622,0.44539219470654123,hour,14
pred_high_residual_cal_full,2152,130.10975164770696,156.4777031387779,0.33331326244533643,-2.814433554879538,0.44536300867527445,hour,14
pred_blend_raw_highcal_50,2152,130.13217128057173,156.46031551320587,0.333461417167491,-2.868947294129749,0.44542463931107823,hour,14
pred_blend_iso_highcal_50,2152,129.8325915413782,156.51174906273437,0.3330231196992449,-0.5068531047630661,0.44524233251214507,hour,14
persistence,2143,196.48718743867667,239.7615240325161,-2.733561524219428,187.9585883719478,0.0,hour,15
pred_raw,2143,82.76222513894854,100.09057797412932,0.349345068939373,29.76259929141497,0.5825411171454049,hour,15
pred_isotonic,2143,81.75296169866603,99.33185099000204,0.35917213471594855,27.49270981465892,0.585705623991067,hour,15
